sku,Qty,Product,Name
B485,3,EUCALYPBB,EUCALYPTUS BABY BLUE
B485,5,PPMICROYW,POMPOM MICRO YELLOW
B486,8,ROS40RD,ROSE 40CM RED
B486,5,DIAGRBALL,DIANTHUS GREEN BALL
B486,6,ALSTRORG,ALTROEMERIA ORANGE
B486,6,CARNBURG,CARNATION BURGUNDY
B486,5,RUSCUS,RUSCUS
B487,3,GERBORG,GERBERA ORANGE
B487,3,SPROSORG,SPRAY ROSE ORANGE
B487,4,SAFFORG,SAFFLOWER ORANGE
B487,4,HYPERGRN,HYPERICUM GREEN
B487,4,LEUCADEGRN,LEUCADENDRON GREEN
B487,5,RUSCUS,RUSCUS
B489,9,ROS40ORG,ROSE 40CM ORANGE
B489,4,RUSCUS,RUSCUS
B489,3,MS2095,PICK PUMPKIN
B489,6,PPBCLVPPORIN,POMPOM NOVELTY BICOLOR LV/PP
B490,3,SPMUMBRZ,SPIDER MUM BRONZE
B490,2,ALSTYW,ALSTROEMERIA YELLOW
B490,3,MS0369,PICK DRIED WHEAT
B490,3,PPCUSHBRZ,POMPOM CUSHION BRONZE
B490,3,ROS40YW,ROSE 40CM YELLOW
B490,2,ROS40ORG,ROSE 40CM ORANGE
B490,3,RUSCUS,RUSCUS
B492,3,MS0038,PICK GREEN ORNAMENT
B492,5,CARNBURG,CARNATION BURGUNDY
B492,3,PPCUSHPP,POMPOM CUSHION PURPLE
B492,3,MINCARNRD,MINI CARNS RED
B492,4,PPBTTGRN,POMPOM BUTTON GREEN
B492,4,RUSCUS,RUSCUS
B498,4,PPDAYWHT,POMPOM DAISY WHITE
B498,3,PPDAYLAV,POMPOM DAISY LAVENDER
B498,3,MINCARPK,MINI CARNS PINK
B498,2,MINCARNRD,MINI CARNS RED
B498,3,CARNRD,CARNATION RED
B498,5,ASTWHT,ASTER WHITE
B501,8,ROS50PK,ROSE 50CM PINK
B501,5,ALSTRRD,ALSTROEMERIA RED
B501,4,ASTMATSRD,ASTER MATSUMOTO RED
B501,4,RUSCUS,RUSCUS
B502,5,ROS50YW,ROSE 50CM YELLOW
B502,3,CREMUMPP,CREMOM MUM PURPLE
B502,5,ALSTYW,ALSTROEMERIA YELLOW
B512,18,ROS40ASST,ROSE 40CM ASST
B512,15,ALSTASST,ALSTROEMERIA ASST
B513,6,ALSTRPK,ALSTROEMERIA PINK
B513,18,ROS40PK,ROSE 40CM PINK
B513,7,ASTPP,ASTER PURPLE
B513,3,RUSCUS,RUSCUS
B514,7,ROS40HTPK,ROSE 40CM HOT PINK
B514,9,ROS40LTPK,ROSE 40CM LIGHT PINK
B514,5,SPMUMGR,SPIDER MUM GREEN
B514,5,ALSTRPK,ALSTROEMERIA PINK
B514,3,RUSCUS,RUSCUS
